nodes,runtime,partition_gurobi,partition_qaoa,cost_gurobi,cost_qaoa
4,0.13255763053894043,"[{1, 3}, {0, 2}]","({0, 2}, {1, 3})",4,4
6,0.18901705741882324,"[{0, 4, 5}, {1, 2, 3}]","({1, 2, 3}, {0, 4, 5})",7,7
8,1.3298072814941406,"[{0, 3, 4, 7}, {1, 2, 5, 6}]","({1, 3, 5, 6}, {0, 2, 4, 7})",10,10
10,1.0883517265319824,"[{0, 1, 2, 4, 7}, {3, 5, 6, 8, 9}]","({3, 5, 6, 8, 9}, {0, 1, 2, 4, 7})",13,13
12,17.10466957092285,"[{1, 3, 4, 8, 9, 10}, {0, 2, 5, 6, 7, 11}]","({0, 2, 5, 6, 7, 11}, {1, 3, 4, 8, 9, 10})",16,16
14,37.341773986816406,"[{0, 1, 5, 8, 9, 12, 13}, {2, 3, 4, 6, 7, 10, 11}]","({0, 3, 5, 8, 9, 12, 13}, {1, 2, 4, 6, 7, 10, 11})",17,17
16,80.1784040927887,"[{3, 5, 8, 9, 10, 11, 12, 14}, {0, 1, 2, 4, 6, 7, 13, 15}]","({3, 5, 8, 9, 10, 11, 12, 14}, {0, 1, 2, 4, 6, 7, 13, 15})",22,22
18,353.6529712677002,"[{2, 5, 6, 8, 9, 10, 11, 13}, {0, 1, 3, 4, 7, 12, 14, 15, 16, 17}]","({0, 1, 3, 4, 7, 12, 14, 15, 16, 17}, {2, 5, 6, 8, 9, 10, 11, 13})",24,24
