nodes,runtime,partition_gurobi,partition_dac,cost_gurobi,cost_dac,dac_subgraph_size,num_layers
40,58.606818199157715,"[{5, 7, 9, 11, 14, 16, 17, 19, 21, 23, 24, 26, 30, 31, 33, 34, 36, 37, 38}, {0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 15, 18, 20, 22, 25, 27, 28, 29, 32, 35, 39}]",1001101110101111010010110001100001010111,55,40,13,5
40,22.459280490875244,"[{5, 7, 9, 11, 14, 16, 17, 19, 21, 23, 24, 26, 30, 31, 33, 34, 36, 37, 38}, {0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 15, 18, 20, 22, 25, 27, 28, 29, 32, 35, 39}]",1001100110101111010010110001100001010111,55,37,13,6
40,31.862593412399292,"[{5, 7, 9, 11, 14, 16, 17, 19, 21, 23, 24, 26, 30, 31, 33, 34, 36, 37, 38}, {0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 15, 18, 20, 22, 25, 27, 28, 29, 32, 35, 39}]",0101101010001111010010110001100001010111,55,42,13,7
44,5.522947788238525,"[{1, 6, 7, 9, 14, 15, 16, 17, 18, 19, 22, 23, 24, 26, 27, 29, 34, 35, 36, 38, 39, 43}, {0, 2, 3, 4, 5, 8, 10, 11, 12, 13, 20, 21, 25, 28, 30, 31, 32, 33, 37, 40, 41, 42}]",01101010100001101010000001101010110110110011,62,35,14,3
44,9.92704463005066,"[{1, 6, 7, 9, 14, 15, 16, 17, 18, 19, 22, 23, 24, 26, 27, 29, 34, 35, 36, 38, 39, 43}, {0, 2, 3, 4, 5, 8, 10, 11, 12, 13, 20, 21, 25, 28, 30, 31, 32, 33, 37, 40, 41, 42}]",10100100111111011000111001011010110110110011,62,38,14,4
44,16.589588403701782,"[{1, 6, 7, 9, 14, 15, 16, 17, 18, 19, 22, 23, 24, 26, 27, 29, 34, 35, 36, 38, 39, 43}, {0, 2, 3, 4, 5, 8, 10, 11, 12, 13, 20, 21, 25, 28, 30, 31, 32, 33, 37, 40, 41, 42}]",10100100111111011001111110011010110110110011,62,36,14,5
44,22.62115478515625,"[{1, 6, 7, 9, 14, 15, 16, 17, 18, 19, 22, 23, 24, 26, 27, 29, 34, 35, 36, 38, 39, 43}, {0, 2, 3, 4, 5, 8, 10, 11, 12, 13, 20, 21, 25, 28, 30, 31, 32, 33, 37, 40, 41, 42}]",01011110101001100000001001011010110110110011,62,38,14,6
44,22.878121376037598,"[{1, 6, 7, 9, 14, 15, 16, 17, 18, 19, 22, 23, 24, 26, 27, 29, 34, 35, 36, 38, 39, 43}, {0, 2, 3, 4, 5, 8, 10, 11, 12, 13, 20, 21, 25, 28, 30, 31, 32, 33, 37, 40, 41, 42}]",01011110101001100010000001101010110110110011,62,42,14,7
48,10.314469575881958,"[{0, 2, 4, 5, 6, 8, 9, 11, 13, 16, 20, 22, 23, 25, 27, 28, 31, 32, 33, 39, 40, 41, 44, 47}, {1, 3, 7, 10, 12, 14, 15, 17, 18, 19, 21, 24, 26, 29, 30, 34, 35, 36, 37, 38, 42, 43, 45, 46}]",101100001101000110110100101000011100001111010100,64,48,16,3
48,30.460654497146606,"[{0, 2, 4, 5, 6, 8, 9, 11, 13, 16, 20, 22, 23, 25, 27, 28, 31, 32, 33, 39, 40, 41, 44, 47}, {1, 3, 7, 10, 12, 14, 15, 17, 18, 19, 21, 24, 26, 29, 30, 34, 35, 36, 37, 38, 42, 43, 45, 46}]",011011010010111010001001101110010011111010010110,64,46,16,4
48,25.002971649169922,"[{0, 2, 4, 5, 6, 8, 9, 11, 13, 16, 20, 22, 23, 25, 27, 28, 31, 32, 33, 39, 40, 41, 44, 47}, {1, 3, 7, 10, 12, 14, 15, 17, 18, 19, 21, 24, 26, 29, 30, 34, 35, 36, 37, 38, 42, 43, 45, 46}]",101101111010010010110100101000010111110110100101,64,52,16,5
48,43.572253942489624,"[{0, 2, 4, 5, 6, 8, 9, 11, 13, 16, 20, 22, 23, 25, 27, 28, 31, 32, 33, 39, 40, 41, 44, 47}, {1, 3, 7, 10, 12, 14, 15, 17, 18, 19, 21, 24, 26, 29, 30, 34, 35, 36, 37, 38, 42, 43, 45, 46}]",100100001011000101111010010011110100011101010100,64,47,16,6
48,34.003446102142334,"[{0, 2, 4, 5, 6, 8, 9, 11, 13, 16, 20, 22, 23, 25, 27, 28, 31, 32, 33, 39, 40, 41, 44, 47}, {1, 3, 7, 10, 12, 14, 15, 17, 18, 19, 21, 24, 26, 29, 30, 34, 35, 36, 37, 38, 42, 43, 45, 46}]",101011111010010011010101101010010100011101010100,64,49,16,7
52,19.009897232055664,"[{3, 5, 7, 11, 12, 15, 16, 17, 18, 19, 20, 22, 24, 27, 28, 29, 31, 32, 34, 35, 38, 39, 40, 43, 44, 47, 49, 51}, {0, 1, 2, 4, 6, 8, 9, 10, 13, 14, 21, 23, 25, 26, 30, 33, 36, 37, 41, 42, 45, 46, 48, 50}]",1000111010101111001111000111011100111111100100100101,70,55,17,3
52,18.22890615463257,"[{3, 5, 7, 11, 12, 15, 16, 17, 18, 19, 20, 22, 24, 27, 28, 29, 31, 32, 34, 35, 38, 39, 40, 43, 44, 47, 49, 51}, {0, 1, 2, 4, 6, 8, 9, 10, 13, 14, 21, 23, 25, 26, 30, 33, 36, 37, 41, 42, 45, 46, 48, 50}]",1100111010101111001111000111011100110111100100100101,70,55,17,4
52,45.470425844192505,"[{3, 5, 7, 11, 12, 15, 16, 17, 18, 19, 20, 22, 24, 27, 28, 29, 31, 32, 34, 35, 38, 39, 40, 43, 44, 47, 49, 51}, {0, 1, 2, 4, 6, 8, 9, 10, 13, 14, 21, 23, 25, 26, 30, 33, 36, 37, 41, 42, 45, 46, 48, 50}]",1001001101010011001101000111101111001000011011011010,70,51,17,5
52,35.05856251716614,"[{3, 5, 7, 11, 12, 15, 16, 17, 18, 19, 20, 22, 24, 27, 28, 29, 31, 32, 34, 35, 38, 39, 40, 43, 44, 47, 49, 51}, {0, 1, 2, 4, 6, 8, 9, 10, 13, 14, 21, 23, 25, 26, 30, 33, 36, 37, 41, 42, 45, 46, 48, 50}]",0111000011001100110000111000100011110111100100100101,70,47,17,6
52,36.12125563621521,"[{3, 5, 7, 11, 12, 15, 16, 17, 18, 19, 20, 22, 24, 27, 28, 29, 31, 32, 34, 35, 38, 39, 40, 43, 44, 47, 49, 51}, {0, 1, 2, 4, 6, 8, 9, 10, 13, 14, 21, 23, 25, 26, 30, 33, 36, 37, 41, 42, 45, 46, 48, 50}]",0000100010101101101111000111011100111010100100010101,70,48,17,7
56,20.130325317382812,"[{0, 1, 2, 6, 7, 10, 16, 17, 20, 21, 24, 26, 27, 28, 30, 32, 34, 36, 37, 38, 42, 43, 44, 47, 48, 49, 52, 53, 54, 55}, {3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 18, 19, 22, 23, 25, 29, 31, 33, 35, 39, 40, 41, 45, 46, 50, 51}]",10101111001100001111001000100101110010001100010101011011,76,60,18,3
