nodes,runtime,partition_gurobi,partition_dac,cost_gurobi,cost_dac,dac_subgraph_size
24,3.884913682937622,"[{0, 1, 4, 6, 8, 10, 11, 13, 14, 18, 21, 23}, {2, 3, 5, 7, 9, 12, 15, 16, 17, 19, 20, 22}]",101101001011101011001100,32,25,12
28,4.676786661148071,"[{0, 1, 3, 7, 8, 9, 12, 14, 15, 17, 18, 20, 21, 24, 27}, {2, 4, 5, 6, 10, 11, 13, 16, 19, 22, 23, 25, 26}]",0000100111011010001101000101,37,28,14
32,3.677143096923828,"[{0, 4, 5, 6, 7, 10, 11, 15, 16, 17, 18, 19, 23, 26, 27, 30}, {1, 2, 3, 8, 9, 12, 13, 14, 20, 21, 22, 24, 25, 28, 29, 31}]",00001011000111010110101111001100,44,32,16
36,3.78908371925354,"[{2, 11, 12, 13, 15, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34}, {0, 1, 3, 4, 5, 6, 35, 7, 9, 10, 8, 14, 16, 17, 18, 23, 24}]",011111101110000000011011110001110101,49,38,18
40,3.5789897441864014,"[{5, 7, 9, 11, 14, 16, 17, 19, 21, 23, 24, 26, 30, 31, 33, 34, 36, 37, 38}, {0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 15, 18, 20, 22, 25, 27, 28, 29, 32, 35, 39}]",0111100000001100101110110010011101100000,55,40,20
44,6.130626916885376,"[{1, 6, 7, 9, 14, 15, 16, 17, 18, 19, 22, 23, 24, 26, 27, 29, 34, 35, 36, 38, 39, 43}, {0, 2, 3, 4, 5, 8, 10, 11, 12, 13, 20, 21, 25, 28, 30, 31, 32, 33, 37, 40, 41, 42}]",10010101011110100000000110110010110010110001,62,48,22
48,14.481651306152344,"[{0, 2, 4, 5, 6, 8, 9, 11, 13, 16, 20, 22, 23, 25, 27, 28, 31, 32, 33, 39, 40, 41, 44, 47}, {1, 3, 7, 10, 12, 14, 15, 17, 18, 19, 21, 24, 26, 29, 30, 34, 35, 36, 37, 38, 42, 43, 45, 46}]",100100101011010110010111010000011111101110111000,64,58,24
52,66.88993525505066,"[{3, 5, 7, 11, 12, 15, 16, 17, 18, 19, 20, 22, 24, 27, 28, 29, 31, 32, 34, 35, 38, 39, 40, 43, 44, 47, 49, 51}, {0, 1, 2, 4, 6, 8, 9, 10, 13, 14, 21, 23, 25, 26, 30, 33, 36, 37, 41, 42, 45, 46, 48, 50}]",1110111010100110010001010101011110010110100100010101,70,57,26
56,483.40719723701477,"[{0, 1, 2, 6, 7, 10, 16, 17, 20, 21, 24, 26, 27, 28, 30, 32, 34, 36, 37, 38, 42, 43, 44, 47, 48, 49, 52, 53, 54, 55}, {3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 18, 19, 22, 23, 25, 29, 31, 33, 35, 39, 40, 41, 45, 46, 50, 51}]",01010000110011110000101110001001001111011101010101000000,76,63,28
60,1082.4679641723633,"[{2, 3, 5, 8, 10, 11, 17, 19, 20, 22, 24, 29, 31, 32, 33, 34, 35, 40, 42, 43, 44, 46, 47, 50, 52, 53, 55, 56, 58, 59}, {0, 1, 4, 6, 7, 9, 12, 13, 14, 15, 16, 18, 21, 23, 25, 26, 27, 28, 30, 36, 37, 38, 39, 41, 45, 48, 49, 51, 54, 57}]",110010110000010010101110010101101000110000011111110000110111,82,68,30
64,2543.478200674057,"[{0, 1, 2, 6, 11, 13, 16, 18, 19, 21, 23, 25, 27, 29, 30, 32, 35, 38, 39, 41, 42, 43, 44, 47, 49, 53, 56, 58, 59, 61, 62}, {3, 4, 5, 7, 8, 9, 10, 12, 14, 15, 17, 20, 22, 24, 26, 28, 31, 33, 34, 36, 37, 40, 45, 46, 48, 50, 51, 52, 54, 55, 57, 60, 63}]",1111001000000100101111010001011000101110011100110001110111100100,87,70,32
