nodes,runtime,partition_gurobi,partition_dac,cost_gurobi,cost_dac,dac_subgraph_size
32,5.599202394485474,"[{0, 4, 5, 6, 7, 10, 11, 15, 16, 17, 18, 19, 23, 26, 27, 30}, {1, 2, 3, 8, 9, 12, 13, 14, 20, 21, 22, 24, 25, 28, 29, 31}]",00101100110011101000110011001111,44,37,6
36,7.771315574645996,"[{2, 11, 12, 13, 15, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34}, {0, 1, 3, 4, 5, 6, 35, 7, 9, 10, 8, 14, 16, 17, 18, 23, 24}]",111111110001111111000111010010110111,49,23,7
40,3.414607048034668,"[{5, 7, 9, 11, 14, 16, 17, 19, 21, 23, 24, 26, 30, 31, 33, 34, 36, 37, 38}, {0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 15, 18, 20, 22, 25, 27, 28, 29, 32, 35, 39}]",0110010000000000101101001010101101010100,55,39,8
44,4.7848358154296875,"[{1, 6, 7, 9, 14, 15, 16, 17, 18, 19, 22, 23, 24, 26, 27, 29, 34, 35, 36, 38, 39, 43}, {0, 2, 3, 4, 5, 8, 10, 11, 12, 13, 20, 21, 25, 28, 30, 31, 32, 33, 37, 40, 41, 42}]",01101011010100111111111110110100010100111100,62,43,8
48,5.991830587387085,"[{0, 2, 4, 5, 6, 8, 9, 11, 13, 16, 20, 22, 23, 25, 27, 28, 31, 32, 33, 39, 40, 41, 44, 47}, {1, 3, 7, 10, 12, 14, 15, 17, 18, 19, 21, 24, 26, 29, 30, 34, 35, 36, 37, 38, 42, 43, 45, 46}]",101101011011001011111010010010110100010101011111,64,40,9
52,4.566791296005249,"[{3, 5, 7, 11, 12, 15, 16, 17, 18, 19, 20, 22, 24, 27, 28, 29, 31, 32, 34, 35, 38, 39, 40, 43, 44, 47, 49, 51}, {0, 1, 2, 4, 6, 8, 9, 10, 13, 14, 21, 23, 25, 26, 30, 33, 36, 37, 41, 42, 45, 46, 48, 50}]",0100101100110011000010011001000101101011100001101111,70,47,10
56,5.897320032119751,"[{0, 1, 2, 6, 7, 10, 16, 17, 20, 21, 24, 26, 27, 28, 30, 32, 34, 36, 37, 38, 42, 43, 44, 47, 48, 49, 52, 53, 54, 55}, {3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 18, 19, 22, 23, 25, 29, 31, 33, 35, 39, 40, 41, 45, 46, 50, 51}]",10110111001110100010101111100100100101011101110101011011,76,45,11
60,5.1190595626831055,"[{2, 3, 5, 8, 10, 11, 17, 19, 20, 22, 24, 29, 31, 32, 33, 34, 35, 40, 42, 43, 44, 46, 47, 50, 52, 53, 55, 56, 58, 59}, {0, 1, 4, 6, 7, 9, 12, 13, 14, 15, 16, 18, 21, 23, 25, 26, 27, 28, 30, 36, 37, 38, 39, 41, 45, 48, 49, 51, 54, 57}]",000110010010001111010101100010101011110000001100110000100101,82,58,12
64,4.7638258934021,"[{0, 1, 2, 6, 11, 13, 16, 18, 19, 21, 23, 25, 27, 29, 30, 32, 35, 38, 39, 41, 42, 43, 44, 47, 49, 53, 56, 58, 59, 61, 62}, {3, 4, 5, 7, 8, 9, 10, 12, 14, 15, 17, 20, 22, 24, 26, 28, 31, 33, 34, 36, 37, 40, 45, 46, 48, 50, 51, 52, 54, 55, 57, 60, 63}]",1111000010101010010010011000001010110000110011100001110011010000,87,51,12
68,8.522335290908813,"[{2, 5, 6, 7, 8, 9, 10, 13, 18, 21, 24, 27, 29, 30, 31, 32, 35, 36, 38, 39, 40, 42, 43, 44, 45, 50, 51, 52, 53, 56, 59, 63, 65, 66, 67}, {0, 1, 3, 4, 11, 12, 14, 15, 16, 17, 19, 20, 22, 23, 25, 26, 28, 33, 34, 37, 41, 46, 47, 48, 49, 54, 55, 57, 58, 60, 61, 62, 64}]",11101110101010100011000011101110001011010100110110010000110010101000,91,65,13
72,6.826650381088257,"[{0, 4, 6, 8, 11, 12, 13, 14, 18, 20, 21, 22, 23, 25, 26, 27, 28, 30, 34, 36, 37, 43, 46, 48, 49, 50, 54, 56, 57, 58, 61, 62, 64, 65, 68, 69}, {1, 2, 3, 5, 7, 9, 10, 15, 16, 17, 19, 24, 29, 31, 32, 33, 35, 38, 39, 40, 41, 42, 44, 45, 47, 51, 52, 53, 55, 59, 60, 63, 66, 67, 70, 71}]",010010101011110010100000100111011110101100000010001000110100100100001100,100,54,14
