nodes,runtime,partition_gurobi,partition_dac,cost_gurobi,cost_dac,dac_subgraph_size
24,3.8609607219696045,"[{0, 1, 4, 6, 8, 10, 11, 13, 14, 18, 21, 23}, {2, 3, 5, 7, 9, 12, 15, 16, 17, 19, 20, 22}]",110100001011101011001100,32,26,6
28,3.754234552383423,"[{0, 1, 3, 7, 8, 9, 12, 14, 15, 17, 18, 20, 21, 24, 27}, {2, 4, 5, 6, 10, 11, 13, 16, 19, 22, 23, 25, 26}]",0111011111010011010111010100,37,21,7
32,5.446396350860596,"[{0, 4, 5, 6, 7, 10, 11, 15, 16, 17, 18, 19, 23, 26, 27, 30}, {1, 2, 3, 8, 9, 12, 13, 14, 20, 21, 22, 24, 25, 28, 29, 31}]",01010111110010101011001111001100,44,30,8
36,4.064489126205444,"[{2, 11, 12, 13, 15, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34}, {0, 1, 3, 4, 5, 6, 35, 7, 9, 10, 8, 14, 16, 17, 18, 23, 24}]",100101011100010100101100011101001100,49,21,9
40,4.594802379608154,"[{5, 7, 9, 11, 14, 16, 17, 19, 21, 23, 24, 26, 30, 31, 33, 34, 36, 37, 38}, {0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 15, 18, 20, 22, 25, 27, 28, 29, 32, 35, 39}]",1000110100010100101111000110111101101000,55,36,10
44,4.743133306503296,"[{1, 6, 7, 9, 14, 15, 16, 17, 18, 19, 22, 23, 24, 26, 27, 29, 34, 35, 36, 38, 39, 43}, {0, 2, 3, 4, 5, 8, 10, 11, 12, 13, 20, 21, 25, 28, 30, 31, 32, 33, 37, 40, 41, 42}]",10010100100010100111001110010101111010110001,62,40,11
48,3.8578438758850098,"[{0, 2, 4, 5, 6, 8, 9, 11, 13, 16, 20, 22, 23, 25, 27, 28, 31, 32, 33, 39, 40, 41, 44, 47}, {1, 3, 7, 10, 12, 14, 15, 17, 18, 19, 21, 24, 26, 29, 30, 34, 35, 36, 37, 38, 42, 43, 45, 46}]",011011001001011000000101101001110010101000010110,64,43,12
52,4.1980812549591064,"[{3, 5, 7, 11, 12, 15, 16, 17, 18, 19, 20, 22, 24, 27, 28, 29, 31, 32, 34, 35, 38, 39, 40, 43, 44, 47, 49, 51}, {0, 1, 2, 4, 6, 8, 9, 10, 13, 14, 21, 23, 25, 26, 30, 33, 36, 37, 41, 42, 45, 46, 48, 50}]",1010101100010111000101100111010010100100010100100110,70,48,13
56,4.778406143188477,"[{0, 1, 2, 6, 7, 10, 16, 17, 20, 21, 24, 26, 27, 28, 30, 32, 34, 36, 37, 38, 42, 43, 44, 47, 48, 49, 52, 53, 54, 55}, {3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 18, 19, 22, 23, 25, 29, 31, 33, 35, 39, 40, 41, 45, 46, 50, 51}]",10111011001100100011101100101000011111011011101010110011,76,54,14
60,4.806455850601196,"[{2, 3, 5, 8, 10, 11, 17, 19, 20, 22, 24, 29, 31, 32, 33, 34, 35, 40, 42, 43, 44, 46, 47, 50, 52, 53, 55, 56, 58, 59}, {0, 1, 4, 6, 7, 9, 12, 13, 14, 15, 16, 18, 21, 23, 25, 26, 27, 28, 30, 36, 37, 38, 39, 41, 45, 48, 49, 51, 54, 57}]",100000010010010101001110100110001010100010011111110000100101,82,54,15
64,5.405400037765503,"[{0, 1, 2, 6, 11, 13, 16, 18, 19, 21, 23, 25, 27, 29, 30, 32, 35, 38, 39, 41, 42, 43, 44, 47, 49, 53, 56, 58, 59, 61, 62}, {3, 4, 5, 7, 8, 9, 10, 12, 14, 15, 17, 20, 22, 24, 26, 28, 31, 33, 34, 36, 37, 40, 45, 46, 48, 50, 51, 52, 54, 55, 57, 60, 63}]",1110101110111100110000101110001100010001001111000000011111001001,87,58,16
68,6.233436107635498,"[{2, 5, 6, 7, 8, 9, 10, 13, 18, 21, 24, 27, 29, 30, 31, 32, 35, 36, 38, 39, 40, 42, 43, 44, 45, 50, 51, 52, 53, 56, 59, 63, 65, 66, 67}, {0, 1, 3, 4, 11, 12, 14, 15, 16, 17, 19, 20, 22, 23, 25, 26, 28, 33, 34, 37, 41, 46, 47, 48, 49, 54, 55, 57, 58, 60, 61, 62, 64}]",11000111010110010011101001110011110100111011100000110000110111100011,91,65,17
72,6.036155462265015,"[{0, 4, 6, 8, 11, 12, 13, 14, 18, 20, 21, 22, 23, 25, 26, 27, 28, 30, 34, 36, 37, 43, 46, 48, 49, 50, 54, 56, 57, 58, 61, 62, 64, 65, 68, 69}, {1, 2, 3, 5, 7, 9, 10, 15, 16, 17, 19, 24, 29, 31, 32, 33, 35, 38, 39, 40, 41, 42, 44, 45, 47, 51, 52, 53, 55, 59, 60, 63, 66, 67, 70, 71}]",100111001100011010010011100101011110011011110010110000010001111110001001,100,59,18
